"","from","to"
"1","Dclk1","Gabra1"
"2","Dclk1","Ptprs"
"3","Dclk1","Celf2"
"4","Dclk1","Tspan7"
"5","Gabra1","Nrxn3"
"6","Slc1a2","Cst3"
"7","Tspan7","Sparcl1"
"8","Dclk1","Apod"
"9","Nrxn3","Ncam1"
"10","Nrxn3","Aplp2"
"11","Tspan7","Ldhb"
"12","Cst3","Apod"
"13","Btf3","Apod"
"14","Apod","Ptprd"
"15","Aplp2","Ptprd"
"16","Celf2","Ptprs"
"17","Nrxn3","Ldhb"
"18","Ncam1","Btf3"
"19","Ptprs","Gabra1"
"20","Dclk1","Nrxn3"
"21","Ptprs","Apod"
"22","Ptprs","Ncam1"
"23","Gabra1","Slc1a2"
"24","Tspan7","Slc1a2"
"25","Nrxn3","Sparcl1"
"26","Btf3","Ldhb"
"27","Celf2","Gabra1"
"28","Celf2","Ptprd"
"29","Slc1a2","Btf3"
"30","Sparcl1","Ldhb"
"31","Ncam1","Apod"
"32","Aplp2","Slc1a2"
"33","Aplp2","Ncam1"
"34","Tspan7","Aplp2"
"35","Dclk1","Sparcl1"
"36","Slc1a2","Ncam1"
"37","Cst3","Ncam1"
"38","Cst3","Sparcl1"
